Truth,Decoded
Tutto bene grazie,tutto bene grazie
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Prego,prego
Buonasera io sono Mario,buonasera io sono mario
Quanto costa il biglietto,quanto costa il blieto
E in offerta costa dieci euro,e in offerta costa dieci euro
Certo ecco a lei vuole un sacchetto,e renrtia io tu tu e
Le auguro una buona giornata,lo auguro una cutne a
"Certo volentieri, io lo prendero macchiato",si gretocede e
Tutto bene tu,tutto io due
Salve quanto costa quell articolo,salve quanto tra io casteuso
Purtroppo non lo so pero potresti chiedere all autista,si rezoioir io io io io a autista
Dovrebbe arrivare tra qualche minuto,doreto octarire tu tu minuto
Prego,prego
Si grazie e arrivederci,si riredrerua
Va bene grazie lo stesso,si grazie e euro
Piacere Luigi come stai,piacere io e stai
E in offerta costa dieci euro,e grazie icieue
Buonasera io sono Mario,buona bar
Quanto costa il biglietto,quanto io a
Perfetto vorrei comprarne due.,certo io grazie due
Prendiamo un caffe al bar,prendiamo un che al bar
A che ora arriva il pullman,e a va io e
Buongiorno io sono Mario,pretoziu
Tutto bene grazie,qutoirte
Quanto costa il biglietto,quanto costa il biglietto
Perfetto vorrei comprarne due.,pverfetovonrei comprarne due
Tutto bene tu,tutto bene tu
Dovrebbe arrivare tra qualche minuto,dovrebbe araziara a e minuto
Piacere Luigi come stai,piacere luigi come stai
Buongiorno io sono Mario,buongiorno io sono mario
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo lo so pero potresti chiedere e autista
