Truth,Decoded
Quanto costa il biglietto,sono io stai lo
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo io pero come bene autista
Va bene grazie lo stesso,va bene si lo so
Prego,pero
Perfetto vorrei comprarne due.,preterlei come e e
Certo ecco a lei vuole un sacchetto,creorari lo so mario
Si grazie e arrivederci,stai io io certo
Le auguro una buona giornata,lo auguro un uiata
Buongiorno io sono Mario,buona io sono mario
Buonasera io sono Mario,bunri io sono mario
Piacere Luigi come stai,piacere io come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,e e e certo
E in offerta costa dieci euro,preira
Tutto bene grazie,preori
Prendiamo un caffe al bar,pero a e
"Certo volentieri, io lo prendero macchiato",piacere un
A che ora arriva il pullman,pero mario ora
Dovrebbe arrivare tra qualche minuto,pero taraereuo
Quanto costa il biglietto,euro stai
Purtroppo non lo so pero potresti chiedere all autista,certo io io a
Va bene grazie lo stesso,pigrize si
Prego,prego
Perfetto vorrei comprarne due.,certo riade a
Certo ecco a lei vuole un sacchetto,pero a a
Si grazie e arrivederci,pireri
Le auguro una buona giornata,euro lo e a
Buongiorno io sono Mario,pero
Buonasera io sono Mario,prego a
Piacere Luigi come stai,pero io si
Tutto bene tu,tutto lo e
Salve quanto costa quell articolo,salve funrta lo a so
