Truth,Decoded
Prego,pero
Dovrebbe arrivare tra qualche minuto,doretobarirne a due minuto
Tutto bene tu,tutto bene
Perfetto vorrei comprarne due.,certo coriredrae un
Buongiorno io sono Mario,preoztu
Piacere Luigi come stai,piacere lo luigi come stai
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere al autista
Tutto bene tu,tutto bene tu
E in offerta costa dieci euro,e in ora costa dieci euro
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Certo ecco a lei vuole un sacchetto,certo ora euro lo vuole un smacheto
Piacere Luigi come stai,piacere luigi come stai
Prego,prego
Buonasera io sono Mario,buongiorno io sono mario
Va bene grazie lo stesso,va e grazie lo stesso
Quanto costa il biglietto,quanto costa io lo lheto
Dovrebbe arrivare tra qualche minuto,dovrebbe grazie io a e minuto
Salve quanto costa quell articolo,le auguro lo come in ilacieto
"Certo volentieri, io lo prendero macchiato",certo volni lei lo lo prendero macchiato
Prendiamo un caffe al bar,pfendio un caffe lo bar
Buongiorno io sono Mario,buongiorno io sono mario
A che ora arriva il pullman,a che ora va il pullman
Si grazie e arrivederci,si grazie io come euro
Tutto bene grazie,tutto e grazie
Le auguro una buona giornata,le auguro una buona giornata
Piacere Luigi come stai,piacere luigi come stai
A che ora arriva il pullman,a che ora arriva il pullman
E in offerta costa dieci euro,e in offerta costa dieci euro
Si grazie e arrivederci,si grazie e arivedertrcso
Dovrebbe arrivare tra qualche minuto,dovrebearivare tra qualche minuto
Tutto bene tu,tutto bene tu
Buonasera io sono Mario,buonasera io sono mario
