Truth,Decoded
Si grazie e arrivederci,bene io
Le auguro una buona giornata,e io
Buongiorno io sono Mario,io io
Buonasera io sono Mario,io io
Piacere Luigi come stai,io io
Tutto bene tu,reoao
Salve quanto costa quell articolo,bene io
E in offerta costa dieci euro,e io
Tutto bene grazie,e io
Prendiamo un caffe al bar,tu a a
"Certo volentieri, io lo prendero macchiato",io io
A che ora arriva il pullman,tu io
Dovrebbe arrivare tra qualche minuto,io io
Quanto costa il biglietto,e io
Purtroppo non lo so pero potresti chiedere all autista,reorato
Va bene grazie lo stesso,e io
Prego,certo
Perfetto vorrei comprarne due.,e io
Certo ecco a lei vuole un sacchetto,e io
Si grazie e arrivederci,bene io
Le auguro una buona giornata,tu io
Buongiorno io sono Mario,io io
Buonasera io sono Mario,io io
Piacere Luigi come stai,io io
Tutto bene tu,certo
Salve quanto costa quell articolo,certo io
E in offerta costa dieci euro,bene io
Tutto bene grazie,bene io
Prendiamo un caffe al bar,pero io
"Certo volentieri, io lo prendero macchiato",e io io io io
A che ora arriva il pullman,io io
Dovrebbe arrivare tra qualche minuto,certo io
