Truth,Decoded
Quanto costa il biglietto,un io so lo
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo lo lo lo stai autista
Va bene grazie lo stesso,va bene e so
Prego,pero
Perfetto vorrei comprarne due.,deretberei come bene
Certo ecco a lei vuole un sacchetto,cruoeara io so mario
Si grazie e arrivederci,e lei io io certo
Le auguro una buona giornata,lo auguro un io
Buongiorno io sono Mario,unonon io sono mario
Buonasera io sono Mario,butori io sono mario
Piacere Luigi come stai,piaereon io come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,e e io
E in offerta costa dieci euro,preiea
Tutto bene grazie,preoeri
Prendiamo un caffe al bar,certo a
"Certo volentieri, io lo prendero macchiato",pireoreua
A che ora arriva il pullman,a bene vrie
Dovrebbe arrivare tra qualche minuto,peretareue
Quanto costa il biglietto,prutoei
Purtroppo non lo so pero potresti chiedere all autista,certo io ora
Va bene grazie lo stesso,pireoei
Prego,pirei
Perfetto vorrei comprarne due.,pero iride si
Certo ecco a lei vuole un sacchetto,si e a
Si grazie e arrivederci,piriri
Le auguro una buona giornata,e lo e e
Buongiorno io sono Mario,pero
Buonasera io sono Mario,prego
Piacere Luigi come stai,pero opieti
Tutto bene tu,tutto lo e
Salve quanto costa quell articolo,salve feanrta so
