Truth,Decoded
Quanto costa il biglietto,quanto costa il biglietto
E in offerta costa dieci euro,e in offerta costa dieci euro
Piacere Luigi come stai,piacere luigi come stai
"Certo volentieri, io lo prendero macchiato",certo volentierieri io lo prendero macchiato
Salve quanto costa quell articolo,salve un costa quell articolo
Prendiamo un caffe al bar,prendiamo un caffe al bar
Va bene grazie lo stesso,va bene grazie stesso
Buonasera io sono Mario,buonasera io sono mario
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
Prego,prego
A che ora arriva il pullman,a che ora arriva il pullman
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere al autista
Le auguro una buona giornata,le auguro una buona giornata
Tutto bene tu,lo bene tu
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Tutto bene grazie,tutto bene grazie
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Buongiorno io sono Mario,buongiorno io sono mario
Si grazie e arrivederci,io io e ariedecri
Quanto costa il biglietto,quanto io io una
Si grazie e arrivederci,si graiederua
Certo ecco a lei vuole un sacchetto,e renri io cipue
Purtroppo non lo so pero potresti chiedere all autista,prego ioire io pero uicri a una
Tutto bene grazie,auzoigue
Salve quanto costa quell articolo,salve quanto qialcosticlo
E in offerta costa dieci euro,preziue
A che ora arriva il pullman,e arriva lo a
"Certo volentieri, io lo prendero macchiato",si greoed un
Buonasera io sono Mario,buona mario
Prendiamo un caffe al bar,prendiamo un caffe al bar
Le auguro una buona giornata,prunco una euro bar
Va bene grazie lo stesso,a grazie grazie e si
