Truth,Decoded
Salve quanto costa quell articolo,salve quanto costa quell articolo
E in offerta costa dieci euro,e in costa costa dieci euro
Tutto bene grazie,tutto io bene si
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",certo vlentio lo prego io pmnacachiato
A che ora arriva il pullman,a che a arriva il pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe a arrivare tra qualche minuto
Quanto costa il biglietto,quanto costa il ilito
Purtroppo non lo so pero potresti chiedere all autista,purtropoplopo lo lo pero potri che al autista
Va bene grazie lo stesso,va bene grazie lo stesso
Prego,prego
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Certo ecco a lei vuole un sacchetto,certo pero a lei vuole un sacchetto
Si grazie e arrivederci,si grazie e e arrivederci
Le auguro una buona giornata,hegr euro una lo a rnata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,salve quanto costa un articolo
E in offerta costa dieci euro,e in offerta costa dieci euro
Tutto bene grazie,tutto bene grazie
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
A che ora arriva il pullman,a che ora arriva il pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Quanto costa il biglietto,quanto osteil blieto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non sono lo pero coretcedea autista
Va bene grazie lo stesso,va bene grazie lo stesso
Prego,prego
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un macheto
