Truth,Decoded
Si grazie e arrivederci,si e e lei
Le auguro una buona giornata,lo auruna buongnata
Buongiorno io sono Mario,runonr io sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piacereguoigio come stai
Tutto bene tu,tutto bene lo
Salve quanto costa quell articolo,salve e costa un tiolo
E in offerta costa dieci euro,e in ora caiei euro
Tutto bene grazie,tutto bene grazie
Prendiamo un caffe al bar,prendiamo un caffe a a
"Certo volentieri, io lo prendero macchiato",certo oenrier io lo e criato
A che ora arriva il pullman,a e ora mario il pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra a che minuto
Quanto costa il biglietto,quntosan io bgto
Purtroppo non lo so pero potresti chiedere all autista,prutonon lo so pero e che e a al a
Va bene grazie lo stesso,va bene grazie stesso
Prego,pero
Perfetto vorrei comprarne due.,peretovorei comprarne due
Certo ecco a lei vuole un sacchetto,certo e a le lo un certo
Si grazie e arrivederci,io e e io ecco
Le auguro una buona giornata,le euro a uonagna
Buongiorno io sono Mario,buoirno io sono mario
Buonasera io sono Mario,buonsri io sono mario
Piacere Luigi come stai,piacereligi come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,e a io come io lo
E in offerta costa dieci euro,e in ora coieso
Tutto bene grazie,tutto e grazie
Prendiamo un caffe al bar,euro lo caffe lo lo
"Certo volentieri, io lo prendero macchiato",certo oenrireri lo come criato
A che ora arriva il pullman,a che ora lo pero
Dovrebbe arrivare tra qualche minuto,dovrebbe grazie lo il io
