Truth,Decoded
Prego,pero
Dovrebbe arrivare tra qualche minuto,dovrebbe arire a tu minuto
Tutto bene tu,certo bene
Perfetto vorrei comprarne due.,certo vordrive due
Buongiorno io sono Mario,preztu
Piacere Luigi come stai,piacere lo uiecme stai
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere al autista
Tutto bene tu,tutto bene tu
E in offerta costa dieci euro,e in offerta costa dieci euro
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Certo ecco a lei vuole un sacchetto,certo lei lo lo vuole un sacchetto
Piacere Luigi come stai,piacereluigi come stai
Prego,prego
Buonasera io sono Mario,buongiorno io sono mario
Va bene grazie lo stesso,va bene grazie lo stesso
Quanto costa il biglietto,quanto costa il biglietto
Dovrebbe arrivare tra qualche minuto,dovrebbe arairaiae a le minuto
Salve quanto costa quell articolo,le auguro io come un iaceto
"Certo volentieri, io lo prendero macchiato",certo volentieri lo lo prendero macchiato
Prendiamo un caffe al bar,pfendio un caffe lo bar
Buongiorno io sono Mario,buongiorno io sono mario
A che ora arriva il pullman,a che ora arriva il pullman
Si grazie e arrivederci,si grazie io io dsteco
Tutto bene grazie,tutto bene grazie
Le auguro una buona giornata,le auguro una buona giornata
Piacere Luigi come stai,piacere luigi come stai
A che ora arriva il pullman,a che ora arriva il pullman
E in offerta costa dieci euro,e in offerta costa dieci euro
Si grazie e arrivederci,si grazie e arivestecso
Dovrebbe arrivare tra qualche minuto,dovrebearivare tra qualche minuto
Tutto bene tu,tutto bene tu
Buonasera io sono Mario,buonasera io sono mario
