Truth,Decoded
Quanto costa il biglietto,quanto costa il bieto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo pero portitiere il autista
Va bene grazie lo stesso,vaqene grazie lo stesso
Prego,prego
Perfetto vorrei comprarne due.,prebonrei comprarne un
Certo ecco a lei vuole un sacchetto,certoaerao io sono un aheto
Si grazie e arrivederci,sbuiaraia io io certo
Le auguro una buona giornata,le auguro una una minuto
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buona io sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,va un io e stesso
E in offerta costa dieci euro,preiua
Tutto bene grazie,prego
Prendiamo un caffe al bar,prenia a che bar
"Certo volentieri, io lo prendero macchiato",si reired un
A che ora arriva il pullman,e io arriva lo le
Dovrebbe arrivare tra qualche minuto,peretctarirae minuto
Quanto costa il biglietto,grato e io
Purtroppo non lo so pero potresti chiedere all autista,prtovor io io io una
Va bene grazie lo stesso,sigrazeie a si
Prego,lei
Perfetto vorrei comprarne due.,certo e a
Certo ecco a lei vuole un sacchetto,preniri io si a
Si grazie e arrivederci,si graredrerua
Le auguro una buona giornata,un lo una un a
Buongiorno io sono Mario,prego
Buonasera io sono Mario,prego a
Piacere Luigi come stai,piacere io si
Tutto bene tu,butoi come
Salve quanto costa quell articolo,salve quanto costa un tiolo
