Truth,Decoded
Quanto costa il biglietto,quanto costa il biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere al autista
Va bene grazie lo stesso,va bene grazie lo stesso
Prego,prego
Perfetto vorrei comprarne due.,perfetto lei comprarne due
Certo ecco a lei vuole un sacchetto,heaero io vuole a sacchetto
Si grazie e arrivederci,va bene io lei csreco
Le auguro una buona giornata,le auguro una buona giornata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonsrnao io sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,a quanto grata tu io stele
E in offerta costa dieci euro,prezidieue
Tutto bene grazie,butoe grazie
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",si greoel due
A che ora arriva il pullman,e ora a io a
Dovrebbe arrivare tra qualche minuto,pretoto a all due minuto
Quanto costa il biglietto,gruzto io a
Purtroppo non lo so pero potresti chiedere all autista,si certo pero io io io puiric il al autista
Va bene grazie lo stesso,va bene grazie il srcso
Prego,prego
Perfetto vorrei comprarne due.,prego bene e
Certo ecco a lei vuole un sacchetto,e io si il un e
Si grazie e arrivederci,si grazie giedede a
Le auguro una buona giornata,e io una bene a a
Buongiorno io sono Mario,preoztu
Buonasera io sono Mario,e sono un mario
Piacere Luigi come stai,piacere lo uigiece stai
Tutto bene tu,tutto come
Salve quanto costa quell articolo,salve quanto costa quell articolo
