Truth,Decoded
Salve quanto costa quell articolo,salve quanto lo a ultilso
E in offerta costa dieci euro,e in ora costa diecieuro
Tutto bene grazie,ungio benerazie
Prendiamo un caffe al bar,prendiamo un caffe all
"Certo volentieri, io lo prendero macchiato",crtoeo voetno io lo pero drnchiato
A che ora arriva il pullman,e a mario il pman
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra un minuto
Quanto costa il biglietto,quanto e si lo
Purtroppo non lo so pero potresti chiedere all autista,pero lo pero lo polopero si bene lo autista
Va bene grazie lo stesso,va bene grazie lo pero
Prego,prego
Perfetto vorrei comprarne due.,certo vorrei comrarnedue
Certo ecco a lei vuole un sacchetto,certo pero a le vuole un certo
Si grazie e arrivederci,si grazie e ariedrci
Le auguro una buona giornata,le auguro un un lo a
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piacere lei come stai
Tutto bene tu,lo bene tu
Salve quanto costa quell articolo,a un certo costaque io
E in offerta costa dieci euro,e un ora costa e euro
Tutto bene grazie,tutto bene grazie
Prendiamo un caffe al bar,prendero un caffe a
"Certo volentieri, io lo prendero macchiato",certo voentrier lo lo crnero mario
A che ora arriva il pullman,a che ora arriva ilpulman
Dovrebbe arrivare tra qualche minuto,dovrebearivar ravuluinuto
Quanto costa il biglietto,tutto costa ilgito
Purtroppo non lo so pero potresti chiedere all autista,prtroponon so lo pero coeredrn ahetisto
Va bene grazie lo stesso,va bene a lo pero
Prego,prego
Perfetto vorrei comprarne due.,perfetonorei comprn due
Certo ecco a lei vuole un sacchetto,certo lo a lei sono uchto
