Truth,Decoded
Quanto costa il biglietto,quanto costa il biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere e autista
Va bene grazie lo stesso,va bene grazie stesso
Prego,prego
Perfetto vorrei comprarne due.,doverfeto lei comprarne due
Certo ecco a lei vuole un sacchetto,cereocnra lo lo vuole un smacheto
Si grazie e arrivederci,a bene io e io prego
Le auguro una buona giornata,le auguro una una giornata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonsernao io sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,salve quangrata ialctelo
E in offerta costa dieci euro,a rezididri
Tutto bene grazie,auzozigrta
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",si reoiedl un
A che ora arriva il pullman,e a lo a lo e
Dovrebbe arrivare tra qualche minuto,doretobn caffe al quanto
Quanto costa il biglietto,quanto lo a
Purtroppo non lo so pero potresti chiedere all autista,prego un io io euro autista
Va bene grazie lo stesso,si grazearie e drecso
Prego,prego
Perfetto vorrei comprarne due.,pero erarire due
Certo ecco a lei vuole un sacchetto,preria io il tu a
Si grazie e arrivederci,si ragiedrerua
Le auguro una buona giornata,prego lo una curne al
Buongiorno io sono Mario,preotu
Buonasera io sono Mario,reoraion bar
Piacere Luigi come stai,piacere uiecoe si
Tutto bene tu,buti costa
Salve quanto costa quell articolo,salve quanto costa quell articolo
