Truth,Decoded
Quanto costa il biglietto,quanto costa il io
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero porestciede e autista
Va bene grazie lo stesso,bene grazie lo stesso
Prego,prego
Perfetto vorrei comprarne due.,dovreborei comprarne e
Certo ecco a lei vuole un sacchetto,crtonaero lo sono uachto
Si grazie e arrivederci,e qunearaio a io cmecro
Le auguro una buona giornata,le euro una una giornata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonrno io sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,salve un tra tu csteo
E in offerta costa dieci euro,e io
Tutto bene grazie,ruoti
Prendiamo un caffe al bar,prenia un che bar
"Certo volentieri, io lo prendero macchiato",e reoded un
A che ora arriva il pullman,pero a mario lo e
Dovrebbe arrivare tra qualche minuto,certo ctarae si minuto
Quanto costa il biglietto,tutto io a
Purtroppo non lo so pero potresti chiedere all autista,prego io io io io autista
Va bene grazie lo stesso,si graziazie io lei
Prego,prego
Perfetto vorrei comprarne due.,certo e una
Certo ecco a lei vuole un sacchetto,perenri io tu un a
Si grazie e arrivederci,si grairdredrua
Le auguro una buona giornata,aungo un un a
Buongiorno io sono Mario,prego
Buonasera io sono Mario,prego bar
Piacere Luigi come stai,piacere io stai
Tutto bene tu,tutto lo gite
Salve quanto costa quell articolo,salve quanto costa un tiolo
