Truth,Decoded
Quanto costa il biglietto,quanto costa il biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere al autista
Va bene grazie lo stesso,va bene grazie lo stesso
Prego,prego
Perfetto vorrei comprarne due.,perfetto lei comprarne due
Certo ecco a lei vuole un sacchetto,certo ecco lei lei vuole a sacchetto
Si grazie e arrivederci,e buzie io lei certo
Le auguro una buona giornata,le auguro una buona giornata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,a quanto grti io stesso
E in offerta costa dieci euro,e
Tutto bene grazie,tutto bene
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",si reored e
A che ora arriva il pullman,e ora io e
Dovrebbe arrivare tra qualche minuto,pretroto che al minuto
Quanto costa il biglietto,gruto io e
Purtroppo non lo so pero potresti chiedere all autista,preripioire io io io pero a una
Va bene grazie lo stesso,si grazie io e druso
Prego,pero
Perfetto vorrei comprarne due.,certo cerere due
Certo ecco a lei vuole un sacchetto,prefori si cipue
Si grazie e arrivederci,pigrerue
Le auguro una buona giornata,runco una un a
Buongiorno io sono Mario,pero tu
Buonasera io sono Mario,pero mario
Piacere Luigi come stai,piacere lo uigiecse stai
Tutto bene tu,retio e
Salve quanto costa quell articolo,salve quanto costa quell articolo
