Truth,Decoded
Quanto costa il biglietto,quanto costa il biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere e autista
Va bene grazie lo stesso,va bene grazie lo stesso
Prego,prego
Perfetto vorrei comprarne due.,poverfeton lei comprarne due
Certo ecco a lei vuole un sacchetto,certo ecco io lei vuole e sacchetto
Si grazie e arrivederci,va bar io e io ecco
Le auguro una buona giornata,le auguro una buona giornata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonernao io sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,va sono grouilcosticlo
E in offerta costa dieci euro,ruzi idireuo
Tutto bene grazie,buztozegerce
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",si greorel a
A che ora arriva il pullman,a e a va lo a
Dovrebbe arrivare tra qualche minuto,dorerobo bar al tu minuto
Quanto costa il biglietto,e grazie io irata
Purtroppo non lo so pero potresti chiedere all autista,pirezi viopire io il io a autista
Va bene grazie lo stesso,va bene mario e dricsi
Prego,pero
Perfetto vorrei comprarne due.,certo cererive due
Certo ecco a lei vuole un sacchetto,e un io culpu a
Si grazie e arrivederci,si graiederua
Le auguro una buona giornata,lo sono lo una curne abaua
Buongiorno io sono Mario,preozto
Buonasera io sono Mario,buolro mario
Piacere Luigi come stai,piacere uiecoe stai
Tutto bene tu,buti vierae
Salve quanto costa quell articolo,salve quanto costa quell articolo
