Truth,Decoded
Quanto costa il biglietto,tutto io sono io lo
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo lo pero pero tiere lo autista
Va bene grazie lo stesso,va bene tra lo pero
Prego,pero
Perfetto vorrei comprarne due.,dvretnerlei costa e e
Certo ecco a lei vuole un sacchetto,ceretoerari lo sono maheto
Si grazie e arrivederci,bene io io certo
Le auguro una buona giornata,le auguro una un minuto
Buongiorno io sono Mario,uonoirno io sono mario
Buonasera io sono Mario,buona io sono mario
Piacere Luigi come stai,piacere lilio come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,e bene a e e
E in offerta costa dieci euro,preira
Tutto bene grazie,preori
Prendiamo un caffe al bar,perenia a lo a
"Certo volentieri, io lo prendero macchiato",preire un
A che ora arriva il pullman,pero vrari a
Dovrebbe arrivare tra qualche minuto,perfetto taraeriuo
Quanto costa il biglietto,pruoio io
Purtroppo non lo so pero potresti chiedere all autista,certo io io io una
Va bene grazie lo stesso,pgrize e
Prego,pero
Perfetto vorrei comprarne due.,certo io ride a
Certo ecco a lei vuole un sacchetto,pero a e a
Si grazie e arrivederci,pirirdra
Le auguro una buona giornata,pero lo un e a
Buongiorno io sono Mario,prego
Buonasera io sono Mario,prego a
Piacere Luigi come stai,pero io tu
Tutto bene tu,tutto lo e
Salve quanto costa quell articolo,salve fuanrta lo stai lo teolo
