Truth,Decoded
Le auguro una buona giornata,le auguro una buona giornata
E in offerta costa dieci euro,e in offerta costa dieci euro
Piacere Luigi come stai,piacereuigi come stai
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
Si grazie e arrivederci,si grazie e arrivederci
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Buonasera io sono Mario,buonasera io sono mario
Quanto costa il biglietto,quanto costa il biglietto
Buongiorno io sono Mario,buongiorno io sono mario
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Prendiamo un caffe al bar,prendiamo un caffe al bar
Va bene grazie lo stesso,va bene grazie lo stesso
A che ora arriva il pullman,a che ora arriva il pullman
Tutto bene grazie,tutto bene grazie
Salve quanto costa quell articolo,salve quanto costa al si ecuolo
Tutto bene tu,tutto bene tu
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere al autista
Prego,prego
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
Salve quanto costa quell articolo,salve quanto costa quell articolo
Tutto bene tu,tu bene tu
A che ora arriva il pullman,a che ora arriva il pullman
Piacere Luigi come stai,piacere luigi come stai
Va bene grazie lo stesso,va bene grazie lo stesso
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
Prendiamo un caffe al bar,prendiamo un caffe al bar
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potre cicdreae autista
Buongiorno io sono Mario,buongiorno io sono mario
Le auguro una buona giornata,le auguro una buona giornata
Si grazie e arrivederci,va grazie e arivercso
