Truth,Decoded
Quanto costa il biglietto,pero io
Purtroppo non lo so pero potresti chiedere all autista,pero io io
Va bene grazie lo stesso,pero io
Prego,a io
Perfetto vorrei comprarne due.,a io
Certo ecco a lei vuole un sacchetto,pero io io
Si grazie e arrivederci,a io
Le auguro una buona giornata,pero io
Buongiorno io sono Mario,pero io io io io
Buonasera io sono Mario,io io io io
Piacere Luigi come stai,a io
Tutto bene tu,a io
Salve quanto costa quell articolo,a io
E in offerta costa dieci euro,io io
Tutto bene grazie,io io
Prendiamo un caffe al bar,io io
"Certo volentieri, io lo prendero macchiato",pero io
A che ora arriva il pullman,io io
Dovrebbe arrivare tra qualche minuto,io io
Quanto costa il biglietto,pero io
Purtroppo non lo so pero potresti chiedere all autista,pero io
Va bene grazie lo stesso,pero io
Prego,io
Perfetto vorrei comprarne due.,pero io
Certo ecco a lei vuole un sacchetto,pero io
Si grazie e arrivederci,io io
Le auguro una buona giornata,io
Buongiorno io sono Mario,io
Buonasera io sono Mario,pero io
Piacere Luigi come stai,io io
Tutto bene tu,io io
Salve quanto costa quell articolo,pero io
