Truth,Decoded
Quanto costa il biglietto,quanto costa il biglietto
E in offerta costa dieci euro,e in offerta costa dieci euro
Piacere Luigi come stai,piacere luigi come stai
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
Salve quanto costa quell articolo,vuole bene costa quell articolo
Prendiamo un caffe al bar,prendiamo un caffe al bar
Va bene grazie lo stesso,va bene grazie lo stesso
Buonasera io sono Mario,buonasera io sono mario
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
Prego,prego
A che ora arriva il pullman,a che ora arriva il pullman
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti che bene al autista
Le auguro una buona giornata,le auguro una buona giornata
Tutto bene tu,tutto bene tu
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Tutto bene grazie,tutto bene grazie
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Buongiorno io sono Mario,buongiorno io sono mario
Si grazie e arrivederci,io e e criedechi
Quanto costa il biglietto,gruaztioia
Si grazie e arrivederci,si grazie
Certo ecco a lei vuole un sacchetto,pero io un due
Purtroppo non lo so pero potresti chiedere all autista,prego ora lo lo pero un a
Tutto bene grazie,e
Salve quanto costa quell articolo,salve quanto sicosteulo
E in offerta costa dieci euro,pero
A che ora arriva il pullman,e ora lo a
"Certo volentieri, io lo prendero macchiato",si gquod un
Buonasera io sono Mario,buona mario
Prendiamo un caffe al bar,prendiamo un caffe al bar
Le auguro una buona giornata,pquoro un bene a
Va bene grazie lo stesso,a bene io e dreuso
