Truth,Decoded
Prendiamo un caffe al bar,perenia un che bar
Salve quanto costa quell articolo,salve quanto tra si cstelo
E in offerta costa dieci euro,e grez io
"Certo volentieri, io lo prendero macchiato",si rerdred e
Dovrebbe arrivare tra qualche minuto,certo carare si certo
Prego,prego
Tutto bene grazie,prego
A che ora arriva il pullman,pero a va io e
Buongiorno io sono Mario,pireoto
Perfetto vorrei comprarne due.,certo e rade e
Si grazie e arrivederci,si graredredrua
Le auguro una buona giornata,e auguro un un a a
Certo ecco a lei vuole un sacchetto,e greneri io tu e
Va bene grazie lo stesso,si graziazie io lei
Buonasera io sono Mario,pero a
Quanto costa il biglietto,gruato costa
Tutto bene tu,tutto lo e
Purtroppo non lo so pero potresti chiedere all autista,pirerzrio si io io irir costa
Piacere Luigi come stai,piacere io e stai
Tutto bene tu,tutto bene tu
Certo ecco a lei vuole un sacchetto,certo lo a lei vuole e ncheto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so so pero coecdedean autista
Quanto costa il biglietto,tutto costa il bieto
Perfetto vorrei comprarne due.,perfetovorei comprarne due
E in offerta costa dieci euro,e in ora costa lei euro
Piacere Luigi come stai,piacereuigio come stai
Tutto bene grazie,tutto bene grazie
Prego,prego
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra quell minuto
Si grazie e arrivederci,si grazie e lei
Prendiamo un caffe al bar,prendero un caffe a bar
Salve quanto costa quell articolo,salve quanto costa due articolo
