Truth,Decoded
Salve quanto costa quell articolo,e ora a io
E in offerta costa dieci euro,a io io e io
Tutto bene grazie,io io
Prendiamo un caffe al bar,pero io a io
"Certo volentieri, io lo prendero macchiato",certo io io io e e io
A che ora arriva il pullman,e btbo e io
Dovrebbe arrivare tra qualche minuto,euro io e e io
Quanto costa il biglietto,prego io
Purtroppo non lo so pero potresti chiedere all autista,euro io io e e io
Va bene grazie lo stesso,pero io
Prego,tutto io
Perfetto vorrei comprarne due.,e io io
Certo ecco a lei vuole un sacchetto,e io io io
Si grazie e arrivederci,e e io
Le auguro una buona giornata,certo io io e lo
Buongiorno io sono Mario,io io
Buonasera io sono Mario,pero io io
Piacere Luigi come stai,pero io
Tutto bene tu,certo
Salve quanto costa quell articolo,io a io
E in offerta costa dieci euro,e io e io
Tutto bene grazie,euro io
Prendiamo un caffe al bar,e io
"Certo volentieri, io lo prendero macchiato",prego io io
A che ora arriva il pullman,bene a io
Dovrebbe arrivare tra qualche minuto,e a io
Quanto costa il biglietto,io io
Purtroppo non lo so pero potresti chiedere all autista,io io ora certo
Va bene grazie lo stesso,pero e io
Prego,certo
Perfetto vorrei comprarne due.,e io
Certo ecco a lei vuole un sacchetto,io io
