Truth,Decoded
Quanto costa il biglietto,pero io io
Purtroppo non lo so pero potresti chiedere all autista,pero io io io e io
Va bene grazie lo stesso,euro io
Prego,tra lo
Perfetto vorrei comprarne due.,certo io lo
Certo ecco a lei vuole un sacchetto,bene io io io euro
Si grazie e arrivederci,bene io io io
Le auguro una buona giornata,pero io io
Buongiorno io sono Mario,pero io io io io io
Buonasera io sono Mario,pero io io io e io
Piacere Luigi come stai,pero io io
Tutto bene tu,bene lo
Salve quanto costa quell articolo,e io
E in offerta costa dieci euro,io io
Tutto bene grazie,tu io
Prendiamo un caffe al bar,prego io
"Certo volentieri, io lo prendero macchiato",euro io
A che ora arriva il pullman,prego io
Dovrebbe arrivare tra qualche minuto,tra io
Quanto costa il biglietto,euro io
Purtroppo non lo so pero potresti chiedere all autista,euro io
Va bene grazie lo stesso,certo io
Prego,e io
Perfetto vorrei comprarne due.,euro io
Certo ecco a lei vuole un sacchetto,io io
Si grazie e arrivederci,io io
Le auguro una buona giornata,prego io
Buongiorno io sono Mario,io io
Buonasera io sono Mario,euro io
Piacere Luigi come stai,io io
Tutto bene tu,euro io
Salve quanto costa quell articolo,a e io a a io
