Truth,Decoded
Prendiamo un caffe al bar,prendiamo un caffe bar
Salve quanto costa quell articolo,salve a tra si e stesso
E in offerta costa dieci euro,si lei due
"Certo volentieri, io lo prendero macchiato",si reidred a
Dovrebbe arrivare tra qualche minuto,doeret ctairae si certo
Prego,prego
Tutto bene grazie,butoti
A che ora arriva il pullman,e io ora io a
Buongiorno io sono Mario,prego
Perfetto vorrei comprarne due.,certo grazie due
Si grazie e arrivederci,pigrardredrua
Le auguro una buona giornata,prego un un a
Certo ecco a lei vuole un sacchetto,pereri io si a
Va bene grazie lo stesso,si grazie io lei
Buonasera io sono Mario,prego a
Quanto costa il biglietto,ruati io io
Tutto bene tu,tutto lo e
Purtroppo non lo so pero potresti chiedere all autista,pirtrioir io io io io e autista
Piacere Luigi come stai,piacere lo io stai
Tutto bene tu,tutto bene tu
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole e nacheto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so lo pero creicedea autista
Quanto costa il biglietto,tutto costa il bieto
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
E in offerta costa dieci euro,e in offerta costa dieci euro
Piacere Luigi come stai,piacere luigi come stai
Tutto bene grazie,tutto bene grazie
Prego,prego
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Si grazie e arrivederci,si grazie e dieci
Prendiamo un caffe al bar,prendero un caffe al bar
Salve quanto costa quell articolo,salve quanto costa quell articolo
