Truth,Decoded
Quanto costa il biglietto,quanto costa il biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere pero autista
Va bene grazie lo stesso,va bene grazie lo stesso
Prego,prego
Perfetto vorrei comprarne due.,poverfeton lei comprarne due
Certo ecco a lei vuole un sacchetto,cereocnra pero lo vuole e smacheto
Si grazie e arrivederci,va bene rzia lei certo
Le auguro una buona giornata,le auguro una buona giornata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,a quanto ora tra castelo
E in offerta costa dieci euro,prego io
Tutto bene grazie,buzti igre
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",pieretzoreqd le
A che ora arriva il pullman,e a io a
Dovrebbe arrivare tra qualche minuto,pretotocarire il tu minuto
Quanto costa il biglietto,gruazto io io
Purtroppo non lo so pero potresti chiedere all autista,prezovior io io un il a autista
Va bene grazie lo stesso,si grazezarie e crcso
Prego,pero
Perfetto vorrei comprarne due.,certo certo rerire e
Certo ecco a lei vuole un sacchetto,preruia io il tu a
Si grazie e arrivederci,si grarz irirereua
Le auguro una buona giornata,prego lo una curne a a
Buongiorno io sono Mario,pero tu
Buonasera io sono Mario,preoraon mario
Piacere Luigi come stai,piacere dieci stai
Tutto bene tu,ruti che
Salve quanto costa quell articolo,salve quanto costa quell articolo
