Truth,Decoded
Quanto costa il biglietto,un lo io
Purtroppo non lo so pero potresti chiedere all autista,lo lo lo lo io
Va bene grazie lo stesso,lo e lo
Prego,tu lo
Perfetto vorrei comprarne due.,certo lo e lo
Certo ecco a lei vuole un sacchetto,lo lo io io certo
Si grazie e arrivederci,lo e io
Le auguro una buona giornata,euro io
Buongiorno io sono Mario,lo lo lo io
Buonasera io sono Mario,lo lo lo io
Piacere Luigi come stai,lo lo lo certo
Tutto bene tu,lo io
Salve quanto costa quell articolo,e lo
E in offerta costa dieci euro,tra lo
Tutto bene grazie,lo lo
Prendiamo un caffe al bar,pero lo lo
"Certo volentieri, io lo prendero macchiato",pruoeo
A che ora arriva il pullman,pero io
Dovrebbe arrivare tra qualche minuto,tra lo
Quanto costa il biglietto,tra lo
Purtroppo non lo so pero potresti chiedere all autista,pero io
Va bene grazie lo stesso,pero lo
Prego,lo
Perfetto vorrei comprarne due.,pero lo io e so
Certo ecco a lei vuole un sacchetto,e lo
Si grazie e arrivederci,pero lo
Le auguro una buona giornata,pero lo lo
Buongiorno io sono Mario,prego
Buonasera io sono Mario,pero io
Piacere Luigi come stai,pero lo
Tutto bene tu,pero lo
Salve quanto costa quell articolo,e e a a lo
