Truth,Decoded
Quanto costa il biglietto,quanto costa il biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potrestichiedere al autista
Va bene grazie lo stesso,va bene grazie stesso
Prego,prego
Perfetto vorrei comprarne due.,perfetto lei comprarne due
Certo ecco a lei vuole un sacchetto,certo ecco ora lei vuole un sacchetto
Si grazie e arrivederci,si grazie io areivedrco
Le auguro una buona giornata,le auguro una buona giornata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,si quanto gracoa io lo trulo
E in offerta costa dieci euro,prezidue
Tutto bene grazie,preztioigae
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",piererioied e
A che ora arriva il pullman,e a io ulmae
Dovrebbe arrivare tra qualche minuto,doretrobo e tra due minuto
Quanto costa il biglietto,ruzio io e
Purtroppo non lo so pero potresti chiedere all autista,prtrio io io lo io piricdre a e
Va bene grazie lo stesso,si grazie rzrieie deruso
Prego,pero
Perfetto vorrei comprarne due.,certo corare due
Certo ecco a lei vuole un sacchetto,prenai io il un e
Si grazie e arrivederci,si e due
Le auguro una buona giornata,prego un due a e
Buongiorno io sono Mario,pero tu
Buonasera io sono Mario,pero mario
Piacere Luigi come stai,piacere luigi e stai
Tutto bene tu,lei io
Salve quanto costa quell articolo,salve quanto costa quell articolo
