Truth,Decoded
Tutto bene grazie,tutto bene grazie
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Prego,prego
Buonasera io sono Mario,buonasera io sono mario
Quanto costa il biglietto,quanto costa il biglietto
E in offerta costa dieci euro,e in offerta costa dieci euro
Certo ecco a lei vuole un sacchetto,e rentria io il tu a
Le auguro una buona giornata,le un euro a bene a
"Certo volentieri, io lo prendero macchiato",si gqazoedl a
Tutto bene tu,auti cterue
Salve quanto costa quell articolo,salve quanto grata io castelo
Purtroppo non lo so pero potresti chiedere all autista,si grazioir io che uicri a autista
Dovrebbe arrivare tra qualche minuto,prego boctarire tu tu minuto
Prego,prego
Si grazie e arrivederci,si grazireurerua
Va bene grazie lo stesso,si grazarzie e drcsi
Piacere Luigi come stai,piacere un e stai
E in offerta costa dieci euro,e quziort icireuo
Buonasera io sono Mario,buorain mario
Quanto costa il biglietto,e quanto io ireta
Perfetto vorrei comprarne due.,si certo corarie e
Prendiamo un caffe al bar,prendiamo un che al bar
A che ora arriva il pullman,a una arriva io e
Buongiorno io sono Mario,pretonzio
Tutto bene grazie,qutzigercte
Quanto costa il biglietto,quanto lo stai il biglietto
Perfetto vorrei comprarne due.,poverfeto lei comprarne due
Tutto bene tu,tutto bene tu
Dovrebbe arrivare tra qualche minuto,dovrebbe araiatia qualche minuto
Piacere Luigi come stai,piacere luigi come stai
Buongiorno io sono Mario,buongiorno io sono mario
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere al autista
