Truth,Decoded
Si grazie e arrivederci,si e e ecco
Le auguro una buona giornata,lo un una una
Buongiorno io sono Mario,e sono io sono mario
Buonasera io sono Mario,ubneaer io sono mario
Piacere Luigi come stai,piaceregoio e stai
Tutto bene tu,tutto bene io
Salve quanto costa quell articolo,salve e costa il teolo
E in offerta costa dieci euro,e in ofet a lei euro
Tutto bene grazie,tutto bene grazie
Prendiamo un caffe al bar,rendia un caffe a a
"Certo volentieri, io lo prendero macchiato",certoenerier io e ariato
A che ora arriva il pullman,e e e mario lo lman
Dovrebbe arrivare tra qualche minuto,va e rivre tra un e minuto
Quanto costa il biglietto,quntoane io certo
Purtroppo non lo so pero potresti chiedere all autista,prutono lo so io lo lo e e il una
Va bene grazie lo stesso,all bene ora io so
Prego,pero
Perfetto vorrei comprarne due.,ceretovorei comprarne e
Certo ecco a lei vuole un sacchetto,coveret e a e va e certo
Si grazie e arrivederci,e a e mario certo
Le auguro una buona giornata,lo e unagnae
Buongiorno io sono Mario,buongrnio sono mario
Buonasera io sono Mario,buonirio sono io
Piacere Luigi come stai,piacere io come stai
Tutto bene tu,tubne tu
Salve quanto costa quell articolo,e che io come io certo
E in offerta costa dieci euro,e in ora e io so
Tutto bene grazie,tutto bene lo grazie
Prendiamo un caffe al bar,pero io a a io
"Certo volentieri, io lo prendero macchiato",certo oerirli io come asiao
A che ora arriva il pullman,bene ora lo pero
Dovrebbe arrivare tra qualche minuto,dovrebbe ora lo lo lo tutto
