Truth,Decoded
Tutto bene tu,quanto bene due
Buonasera io sono Mario,buonasera io mario
Certo ecco a lei vuole un sacchetto,al ora tricol stai
E in offerta costa dieci euro,si graeri a e si
A che ora arriva il pullman,a che mario sono mario
Tutto bene grazie,salve quanto il biglietto
Salve quanto costa quell articolo,salve qutotaedl articolo
Va bene grazie lo stesso,si grazie e a bene io
Le auguro una buona giornata,salve qauogsreo uroafe il lo
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare che minuto
Prego,prego
Purtroppo non lo so pero potresti chiedere all autista,pareoe pteti si so cpol autista
"Certo volentieri, io lo prendero macchiato",paereto e il io
Si grazie e arrivederci,si gretedredie
Prendiamo un caffe al bar,prendiamo un a lo bar
Piacere Luigi come stai,piacereouli lo stai
