Truth,Decoded
Le auguro una buona giornata,a aiena
Va bene grazie lo stesso,bene io
Buonasera io sono Mario,bene e io mario
Si grazie e arrivederci,e e e io
Prego,io
Prendiamo un caffe al bar,pero a
Purtroppo non lo so pero potresti chiedere all autista,io io e e e io
Prendiamo un caffe al bar,bene a a a a io
Le auguro una buona giornata,tu a ineurno
E in offerta costa dieci euro,e e a euro
Dovrebbe arrivare tra qualche minuto,e ruara a a tineurno
Salve quanto costa quell articolo,e e io
Tutto bene tu,io
A che ora arriva il pullman,bar a io
Quanto costa il biglietto,un io
Piacere Luigi come stai,certo io
