Truth,Decoded
Perfetto vorrei comprarne due.,si graoto costa bene due
Tutto bene grazie,tutto grazie
Tutto bene tu,tutto e stai
Prego,e
Si grazie e arrivederci,a grazie due
Salve quanto costa quell articolo,va gbengrt lo stesso
Quanto costa il biglietto,quanto cbseaeglieto
Le auguro una buona giornata,le auguro una giornata
E in offerta costa dieci euro,e in offerta costa dieci euro
A che ora arriva il pullman,a che arriva io pullman
Prego,prego
Buongiorno io sono Mario,buongiorno io sono mario
Tutto bene grazie,tutto bene grazie
Tutto bene tu,tutto bene tu
Prendiamo un caffe al bar,prendero un che lo bar
Dovrebbe arrivare tra qualche minuto,dovrebrivare e che minuto
