Truth,Decoded
Le auguro una buona giornata,a e giornata
Va bene grazie lo stesso,erear io
Buonasera io sono Mario,runeneri io io mario
Si grazie e arrivederci,bene e
Prego,io
Prendiamo un caffe al bar,e a
Purtroppo non lo so pero potresti chiedere all autista,io io e e aieto
Prendiamo un caffe al bar,pero a a si
Le auguro una buona giornata,e tu a inourna
E in offerta costa dieci euro,e a a inourno
Dovrebbe arrivare tra qualche minuto,verearara tineurno
Salve quanto costa quell articolo,e un lo
Tutto bene tu,tutto
A che ora arriva il pullman,tu tra a io
Quanto costa il biglietto,tutto io
Piacere Luigi come stai,pero io
