Truth,Decoded
Le auguro una buona giornata,le auguro buona giornata
Va bene grazie lo stesso,va bene egazi lo stesso
Buonasera io sono Mario,buonasera io sono mario
Si grazie e arrivederci,si grazie io stesso
Prego,prego
Prendiamo un caffe al bar,prendero un che lo bar
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo so pero so si io al costa
Prendiamo un caffe al bar,prendiamo un a al a
Le auguro una buona giornata,le auguro buona giornata
E in offerta costa dieci euro,e in lo costa dieci euro
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Salve quanto costa quell articolo,salve quanto costa il articolo
Tutto bene tu,tutto bene tu
A che ora arriva il pullman,a che ora arriva il lman
Quanto costa il biglietto,quanto costa il biglietto
Piacere Luigi come stai,piacere luigi come stai
