Truth,Decoded
"Certo volentieri, io lo prendero macchiato",certo volenti io lo prendero macchiato
A che ora arriva il pullman,a che ora arriva il pullman
Prego,prego
Le auguro una buona giornata,le tutto euro una buona giornata
Quanto costa il biglietto,quanto costa il biglietto
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Buonasera io sono Mario,buonasera io sono mario
Prendiamo un caffe al bar,prendiamo un a al bar
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo lo so pero potresti chiedere al autista
Piacere Luigi come stai,piacere luigi come stai
Si grazie e arrivederci,si grazie e arrivederci
Tutto bene tu,tutto bene tu
Prego,prego
Dovrebbe arrivare tra qualche minuto,dovrebbe grarivae quaqualche minuto
Buonasera io sono Mario,buonasera io sono mario
Tutto bene tu,tutto bene tu
