Truth,Decoded
Tutto bene tu,prentroro io bene due
Buonasera io sono Mario,beonsra io sono mario
Certo ecco a lei vuole un sacchetto,e e e raiv io il a
E in offerta costa dieci euro,si grerivas bene e
A che ora arriva il pullman,prego ora all bar
Tutto bene grazie,quanto io e il aieto
Salve quanto costa quell articolo,si grengrato a il stesso
Va bene grazie lo stesso,si grazie e grazie le stesso
Le auguro una buona giornata,prego pero un afeal a
Dovrebbe arrivare tra qualche minuto,dovrebori arrivare qualche minuto
Prego,prego
Purtroppo non lo so pero potresti chiedere all autista,prego vorrei io io le autista
"Certo volentieri, io lo prendero macchiato",prego lo due
Si grazie e arrivederci,divgre e bene si
Prendiamo un caffe al bar,prendiamo un caffe al bar
Piacere Luigi come stai,piacere lo come stai
