Truth,Decoded
Purtroppo non lo so pero potresti chiedere all autista,purtroppo io io io pero che e il autista
Tutto bene grazie,tutto e grazie
E in offerta costa dieci euro,e in certo costa dieci euro
Va bene grazie lo stesso,va bene rarzi lo stesso
Piacere Luigi come stai,piacere lo che stai
Dovrebbe arrivare tra qualche minuto,dovrebbe e arrivare e che minuto
"Certo volentieri, io lo prendero macchiato",certvoleneni lo io e un macchiato
Prendiamo un caffe al bar,prendiamo un e lo bar
Prego,e
Salve quanto costa quell articolo,salve quanto io io lo articolo
Buonasera io sono Mario,buonasera io so mario
Perfetto vorrei comprarne due.,pero vorrei io al due
Si grazie e arrivederci,che a
Buonasera io sono Mario,buona io un mario
Va bene grazie lo stesso,si bene a e io
Dovrebbe arrivare tra qualche minuto,lo bene tra e due
