Truth,Decoded
Le auguro una buona giornata,le euro un giornata
Va bene grazie lo stesso,va bene mario lo stesso
Buonasera io sono Mario,tu ora io io mario
Si grazie e arrivederci,si grazie e e
Prego,pero
Prendiamo un caffe al bar,prendero un che bar
Purtroppo non lo so pero potresti chiedere all autista,prtopono io io io io io io al costa
Prendiamo un caffe al bar,pero un al un
Le auguro una buona giornata,lo a giornata
E in offerta costa dieci euro,e in e e e si euro
Dovrebbe arrivare tra qualche minuto,dovrebearvar a le minuto
Salve quanto costa quell articolo,salve io io al articolo
Tutto bene tu,tutto un e
A che ora arriva il pullman,si ora mario lman
Quanto costa il biglietto,quanto io a io
Piacere Luigi come stai,piacere lo io lo si
