Truth,Decoded
Le auguro una buona giornata,io e giornata
Va bene grazie lo stesso,e e io
Buonasera io sono Mario,runone si io io mario
Si grazie e arrivederci,e e a
Prego,io
Prendiamo un caffe al bar,pero io e a
Purtroppo non lo so pero potresti chiedere all autista,pero io io io e e e aita
Prendiamo un caffe al bar,pero a a a mario
Le auguro una buona giornata,tu a giornata
E in offerta costa dieci euro,e un un si quanto
Dovrebbe arrivare tra qualche minuto,due tra a mtinournto
Salve quanto costa quell articolo,e quanto a tiolo
Tutto bene tu,un io
A che ora arriva il pullman,e a a in
Quanto costa il biglietto,tutto e mario
Piacere Luigi come stai,pero io io io io
