Truth,Decoded
Perfetto vorrei comprarne due.,si graoeto costa bene due
Tutto bene grazie,quntioio so grazie
Tutto bene tu,qurtrioro corage due
Prego,prego
Si grazie e arrivederci,si graedredue
Salve quanto costa quell articolo,va grengragta lo pero
Quanto costa il biglietto,quanto costabglieto
Le auguro una buona giornata,le auguro un una giornata
E in offerta costa dieci euro,e in offerta costa dieci euro
A che ora arriva il pullman,a che arriva il pullman
Prego,prego
Buongiorno io sono Mario,buongiorno io sono mario
Tutto bene grazie,tutto bene grazie
Tutto bene tu,tutto bene tu
Prendiamo un caffe al bar,prendiamo un che lo bar
Dovrebbe arrivare tra qualche minuto,dovrebarivare tra qualche minuto
