Truth,Decoded
Buonasera io sono Mario,bene io io mario
Buongiorno io sono Mario,io io io
Prendiamo un caffe al bar,io io
A che ora arriva il pullman,io io
Piacere Luigi come stai,io io io
E in offerta costa dieci euro,e e io
Si grazie e arrivederci,bene io
Certo ecco a lei vuole un sacchetto,io io mario
Perfetto vorrei comprarne due.,pero io
Quanto costa il biglietto,io io
Prego,io
Tutto bene grazie,tu a
Dovrebbe arrivare tra qualche minuto,due io
Va bene grazie lo stesso,tu io
Salve quanto costa quell articolo,certo io io
Purtroppo non lo so pero potresti chiedere all autista,io io io io e io
