Truth,Decoded
Le auguro una buona giornata,e lo
Va bene grazie lo stesso,eoeto
Buonasera io sono Mario,lo
Si grazie e arrivederci,e io
Prego,e lo
Prendiamo un caffe al bar,lo io
Purtroppo non lo so pero potresti chiedere all autista,lo e io
Prendiamo un caffe al bar,bene e
Le auguro una buona giornata,e io
E in offerta costa dieci euro,e lo
Dovrebbe arrivare tra qualche minuto,e e euro
Salve quanto costa quell articolo,e e io
Tutto bene tu,e lo
A che ora arriva il pullman,e io
Quanto costa il biglietto,e e
Piacere Luigi come stai,io io
