Truth,Decoded
Tutto bene tu,tutto bene grazie
Buonasera io sono Mario,buona io sono mario
Certo ecco a lei vuole un sacchetto,a che e io io pullman
E in offerta costa dieci euro,si grazie so e si
A che ora arriva il pullman,a lo mario sonlmai
Tutto bene grazie,tutto beigrazie
Salve quanto costa quell articolo,salve costa il rtieso
Va bene grazie lo stesso,si ora e grazie lo stesso
Le auguro una buona giornata,le euro euro a lo a
Dovrebbe arrivare tra qualche minuto,dovre arrivare che minuto
Prego,prego e
Purtroppo non lo so pero potresti chiedere all autista,purtroppo io lo lo pero potresti il autista
"Certo volentieri, io lo prendero macchiato",si graernl due
Si grazie e arrivederci,si grazie redeci
Prendiamo un caffe al bar,prendiamo un a lo bar
Piacere Luigi come stai,piacere lo come stai
