Truth,Decoded
Perfetto vorrei comprarne due.,si graonto costa bene due
Tutto bene grazie,qunri io so io grazie
Tutto bene tu,qutrio io ora io due
Prego,prego tu
Si grazie e arrivederci,sigraprdr due
Salve quanto costa quell articolo,va grengreta e stesso
Quanto costa il biglietto,quanto costa io biglietto
Le auguro una buona giornata,le auguro una buona giornata
E in offerta costa dieci euro,e in offerta costa dieci euro
A che ora arriva il pullman,a che ora va il pullman
Prego,prego
Buongiorno io sono Mario,buongiorno io sono mario
Tutto bene grazie,tutto bene grazie
Tutto bene tu,tutto bene tu
Prendiamo un caffe al bar,prendiamo un caffe al bar
Dovrebbe arrivare tra qualche minuto,dovreberivare tra qualche minuto
