Truth,Decoded
Certo ecco a lei vuole un sacchetto,a e stai costa il a
Piacere Luigi come stai,piacereoli come stai
Buongiorno io sono Mario,euro un a
Si grazie e arrivederci,si gratoeneci
Salve quanto costa quell articolo,salve quanto cogstael stesso
Buonasera io sono Mario,buonasera io sono mario
Buongiorno io sono Mario,buongiorno io sono mario
Si grazie e arrivederci,a e arrivederci
Quanto costa il biglietto,quanto costa il biglietto
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
E in offerta costa dieci euro,e in offerta costa dieci euro
Salve quanto costa quell articolo,salve quanto costa quell articolo
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Prendiamo un caffe al bar,prendiamo un caffe al bar
Le auguro una buona giornata,le un euro una buona giornata
