Truth,Decoded
Perfetto vorrei comprarne due.,si gqaoento corsi e e due
Tutto bene grazie,quntioio grazie
Tutto bene tu,quntrio io ora due
Prego,prego
Si grazie e arrivederci,si graeredr due
Salve quanto costa quell articolo,va grengtg lo stesso
Quanto costa il biglietto,quanto cosaebglieto
Le auguro una buona giornata,le auguro buona giornata
E in offerta costa dieci euro,e in offerta costa dieci euro
A che ora arriva il pullman,a che ora va il pullman
Prego,prego
Buongiorno io sono Mario,buongiorno io sono mario
Tutto bene grazie,tutto bengrazie
Tutto bene tu,tutto bene tu
Prendiamo un caffe al bar,prendiamo un che lo bar
Dovrebbe arrivare tra qualche minuto,dovrebarivare tra qualche minuto
