Truth,Decoded
Le auguro una buona giornata,le auguro buona giornata
Va bene grazie lo stesso,va bene e a lo stesso
Buonasera io sono Mario,buonasera io so mario
Si grazie e arrivederci,si grazie e io tu
Prego,pero
Prendiamo un caffe al bar,prendero un che lo bar
Purtroppo non lo so pero potresti chiedere all autista,certo io io so lo si si io al costa
Prendiamo un caffe al bar,prendiamo un a al a
Le auguro una buona giornata,le euro una giornata
E in offerta costa dieci euro,e in ora ora dieci euro
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare a che minuto
Salve quanto costa quell articolo,salve io costa al articolo
Tutto bene tu,tutto bene tu
A che ora arriva il pullman,a che ora mario ilman
Quanto costa il biglietto,quanto costa lo ilieto
Piacere Luigi come stai,piacere lei come stai
