Truth,Decoded
Piacere Luigi come stai,piacere lo come stai
Buonasera io sono Mario,buonasera io sono mario
Si grazie e arrivederci,si grazie e arrivederci
Prendiamo un caffe al bar,prendiamo un caffe lo bar
Quanto costa il biglietto,viqu gato a il
Purtroppo non lo so pero potresti chiedere all autista,purtroppo io io so pero ptcrede lo autista
Buongiorno io sono Mario,buongiorno io sono mario
E in offerta costa dieci euro,e in offerta costa dieci euro
Tutto bene grazie,tutto bene grazie
Perfetto vorrei comprarne due.,certo vorrei comprarne e
A che ora arriva il pullman,a e ora arriva il lman
Tutto bene tu,io e e
"Certo volentieri, io lo prendero macchiato",certo volentieri io prego macchiato
Le auguro una buona giornata,le auguro e una giornata
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare a qualche minuto
Prego,prego
