Truth,Decoded
Perfetto vorrei comprarne due.,si graonto costa bene due
Tutto bene grazie,e quanto io so grazie
Tutto bene tu,qutrio costa io azre
Prego,prego e
Si grazie e arrivederci,si graedredue
Salve quanto costa quell articolo,si grengrata lo stesso
Quanto costa il biglietto,quanto cbstaebglieto
Le auguro una buona giornata,le auguro una buona giornata
E in offerta costa dieci euro,e in offerta costa dieci euro
A che ora arriva il pullman,a che ora va il pullman
Prego,prego
Buongiorno io sono Mario,buongiorno io sono mario
Tutto bene grazie,tutto benegrazie
Tutto bene tu,tutto bene tu
Prendiamo un caffe al bar,prendiamo un caffe al bar
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
