Truth,Decoded
Buonasera io sono Mario,io io
Buongiorno io sono Mario,io io
Prendiamo un caffe al bar,io io
A che ora arriva il pullman,io io
Piacere Luigi come stai,io io io
E in offerta costa dieci euro,beaio
Si grazie e arrivederci,tu io
Certo ecco a lei vuole un sacchetto,io io
Perfetto vorrei comprarne due.,pero io io
Quanto costa il biglietto,io io
Prego,buaio
Tutto bene grazie,tu a
Dovrebbe arrivare tra qualche minuto,tu io
Va bene grazie lo stesso,due io
Salve quanto costa quell articolo,pero io io
Purtroppo non lo so pero potresti chiedere all autista,pero io io io e io
