Truth,Decoded
Perfetto vorrei comprarne due.,a quanto costa bene due
Tutto bene grazie,tutto io grazie
Tutto bene tu,tutto bene a
Prego,prego
Si grazie e arrivederci,si graedr a
Salve quanto costa quell articolo,va gbeg come stesso
Quanto costa il biglietto,va bebglieto
Le auguro una buona giornata,le auguro una buona giornata
E in offerta costa dieci euro,e in offerta costa dieci euro
A che ora arriva il pullman,a che ora va il pullman
Prego,prego
Buongiorno io sono Mario,buongiorno io sono mario
Tutto bene grazie,tutto benegrazie
Tutto bene tu,tutto bene tu
Prendiamo un caffe al bar,prendiamo un caffe al bar
Dovrebbe arrivare tra qualche minuto,dovrebrivare tra qualche minuto
