Truth,Decoded
Perfetto vorrei comprarne due.,si graboto costa edledio
Tutto bene grazie,salve quanto io colgl ziet
Tutto bene tu,quanto io corarl e
Prego,prego
Si grazie e arrivederci,si grardred
Salve quanto costa quell articolo,a gregtlo stesso
Quanto costa il biglietto,vavqucbstabiglieto
Le auguro una buona giornata,le auguro una buona giornata
E in offerta costa dieci euro,e in offerta costa dieci euro
A che ora arriva il pullman,a che ora va il pullman
Prego,prego
Buongiorno io sono Mario,buongiorno io sono mario
Tutto bene grazie,tutto bengrazie
Tutto bene tu,tutto bene tu
Prendiamo un caffe al bar,prendiamo un caffe al bar
Dovrebbe arrivare tra qualche minuto,dovrebrivare tra qualche minuto
