Truth,Decoded
Dovrebbe arrivare tra qualche minuto,saeretvo si arrivare a che minuto
Purtroppo non lo so pero potresti chiedere all autista,certo costa io lo autista
Tutto bene tu,tutto e e due
Piacere Luigi come stai,pero io a io lo io stai
Certo ecco a lei vuole un sacchetto,a refriva a a io lo a
A che ora arriva il pullman,e io ora so lo a
E in offerta costa dieci euro,e in offerta costa dieci euro
Salve quanto costa quell articolo,salve quanto costa quell articolo
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Tutto bene grazie,tutto bene grazie
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
Va bene grazie lo stesso,va bene grazie lo stesso
Buongiorno io sono Mario,buongiorno io sono mario
"Certo volentieri, io lo prendero macchiato",certo volenti io lo prendero macchiato
A che ora arriva il pullman,a che ora arriva il pullman
Prego,prego
