Truth,Decoded
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo io sono e e lo autista
Tutto bene grazie,tutto e grazie
E in offerta costa dieci euro,e in ora costa dieci euro
Va bene grazie lo stesso,va e mario lo stesso
Piacere Luigi come stai,piacere lo che stai
Dovrebbe arrivare tra qualche minuto,dovrebbe e arrivare e salve minuto
"Certo volentieri, io lo prendero macchiato",certo voleoni lo pero pero macchiato
Prendiamo un caffe al bar,prendiamo un e lo bar
Prego,e
Salve quanto costa quell articolo,salve quanto lo si lo articolo
Buonasera io sono Mario,buonasera io so mario
Perfetto vorrei comprarne due.,prego vorrei comparl due
Si grazie e arrivederci,si graedr a
Buonasera io sono Mario,buona io so mario
Va bene grazie lo stesso,si grazie a io
Dovrebbe arrivare tra qualche minuto,si retoe a a e tu
