Truth,Decoded
Perfetto vorrei comprarne due.,si graoeteto costa bene io
Tutto bene grazie,tutto grazie
Tutto bene tu,tutto e grazie
Prego,prerti
Si grazie e arrivederci,prtredr a
Salve quanto costa quell articolo,a grengrata lo sono
Quanto costa il biglietto,quanto cbseaeglieto
Le auguro una buona giornata,le auguro buona giornata
E in offerta costa dieci euro,e in offerta costa dieci euro
A che ora arriva il pullman,a che arriva il pullman
Prego,prego
Buongiorno io sono Mario,buongiorno io sono mario
Tutto bene grazie,tutto bengrazie
Tutto bene tu,tutto bene tu
Prendiamo un caffe al bar,prendiamo un caffe lo bar
Dovrebbe arrivare tra qualche minuto,dovrebarivare tra qualche minuto
