Truth,Decoded
Salve quanto costa quell articolo,salve quanto costa quell articolo
Va bene grazie lo stesso,va bene grazie lo stesso
Quanto costa il biglietto,un lo costa ilbiglieto
Perfetto vorrei comprarne due.,certo vorrei comprarne due
Le auguro una buona giornata,le euro euro a buona giornata
Prego,prego
Perfetto vorrei comprarne due.,si quanto costa le dioto
E in offerta costa dieci euro,a graeri a a due
Quanto costa il biglietto,lquantgto lo al aiet
Le auguro una buona giornata,piacere euro euro a al a
Buongiorno io sono Mario,bugotoio mario
Buonasera io sono Mario,buona io so un mario
Va bene grazie lo stesso,a grazie e grazie bene raieto
Tutto bene grazie,le aunotoco so grazie
"Certo volentieri, io lo prendero macchiato",a bene lo due
Prendiamo un caffe al bar,preonadriamo un a al bar
