Truth,Decoded
Buonasera io sono Mario,buonairi io so mario
Buongiorno io sono Mario,buonino io so mario
Prendiamo un caffe al bar,prendero un io lo bar
A che ora arriva il pullman,a che orararia ilman
Piacere Luigi come stai,piacere guoi io mario
E in offerta costa dieci euro,e in ofrte so dieci euro
Si grazie e arrivederci,si bene grazie ariel a
Certo ecco a lei vuole un sacchetto,certo una a ivuolno macchiato
Perfetto vorrei comprarne due.,perfetto vorrei compene grazie
Quanto costa il biglietto,quantocostsi ilieto
Prego,pero
Tutto bene grazie,tutto e grazie
Dovrebbe arrivare tra qualche minuto,dovrebnrariat le minuto
Va bene grazie lo stesso,vbebze stai lo stesso
Salve quanto costa quell articolo,salve quanto vuole il acioto
Purtroppo non lo so pero potresti chiedere all autista,prtropon io io pero poteiedel autista
