Truth,Decoded
Certo ecco a lei vuole un sacchetto,al un e a come un
Piacere Luigi come stai,piacereluoi come stai
Buongiorno io sono Mario,e tu
Si grazie e arrivederci,si grazie dieci
Salve quanto costa quell articolo,salve un costa il stesso
Buonasera io sono Mario,io ora io sono mario
Buongiorno io sono Mario,buongiorno io sono mario
Si grazie e arrivederci,a io e arrivederci
Quanto costa il biglietto,quanto costa il biglietto
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
E in offerta costa dieci euro,e in offerta costa dieci euro
Salve quanto costa quell articolo,salve quanto costa quell articolo
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Prendiamo un caffe al bar,prendiamo un caffe al bar
Le auguro una buona giornata,le io euro una buona giornata
