Truth,Decoded
Le auguro una buona giornata,io io
Va bene grazie lo stesso,bene lo
Buonasera io sono Mario,un lo
Si grazie e arrivederci,e lo
Prego,e io
Prendiamo un caffe al bar,io io
Purtroppo non lo so pero potresti chiedere all autista,io e lo
Prendiamo un caffe al bar,ereba le
Le auguro una buona giornata,e io
E in offerta costa dieci euro,e lo
Dovrebbe arrivare tra qualche minuto,tu lo
Salve quanto costa quell articolo,bene lo
Tutto bene tu,e io
A che ora arriva il pullman,e lo
Quanto costa il biglietto,bene io
Piacere Luigi come stai,io lo
