Truth,Decoded
Buongiorno io sono Mario,buongiorno io sono mario
A che ora arriva il pullman,a che ora arriva il pullman
E in offerta costa dieci euro,e in offerta costa dieci euro
Si grazie e arrivederci,si grazie e io ruederti
Certo ecco a lei vuole un sacchetto,certo voeoa lo vuole un macheto
Salve quanto costa quell articolo,salve quangouco ora quell articolo
Tutto bene grazie,tutto e iglracie
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piacere luigi come stai
Quanto costa il biglietto,quanto costa lo biglietto
Dovrebbe arrivare tra qualche minuto,va bene grazie le stesso
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Va bene grazie lo stesso,va bene grazie lo stesso
Buongiorno io sono Mario,buongiorno io sono mario
Prendiamo un caffe al bar,prendiamo un caffe al bar
Purtroppo non lo so pero potresti chiedere all autista,purtroppo io lo so perepreiti chiedere al autista
