Truth,Decoded
Tutto bene tu,tutto soenagrazie
Buonasera io sono Mario,bensra io so mario
Certo ecco a lei vuole un sacchetto,e e una raiv io lo matn
E in offerta costa dieci euro,pereivs lo a
A che ora arriva il pullman,pero oraraio sono bar
Tutto bene grazie,tutto so bgriet
Salve quanto costa quell articolo,a gfat costa lo io
Va bene grazie lo stesso,e gretoe io lo io
Le auguro una buona giornata,e auguro euro a lo a
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare che minuto
Prego,prego
Purtroppo non lo so pero potresti chiedere all autista,prtronponsn omto lo autista
"Certo volentieri, io lo prendero macchiato",peretopnl due
Si grazie e arrivederci,sirenr si
Prendiamo un caffe al bar,prendiamo un a lo a
Piacere Luigi come stai,piacere lo come stai
