Truth,Decoded
Le auguro una buona giornata,le auguro e agiorna
Va bene grazie lo stesso,e e e io
Buonasera io sono Mario,tubener io io mario
Si grazie e arrivederci,va e e
Prego,pero
Prendiamo un caffe al bar,prego io e a
Purtroppo non lo so pero potresti chiedere all autista,prenoto io lo e a a costa
Prendiamo un caffe al bar,pero a a in
Le auguro una buona giornata,e a giornata
E in offerta costa dieci euro,al un e e si euro
Dovrebbe arrivare tra qualche minuto,drearvarara e minuto
Salve quanto costa quell articolo,e un io a e tiolo
Tutto bene tu,tutto e
A che ora arriva il pullman,e e si alman
Quanto costa il biglietto,tutto e tutto
Piacere Luigi come stai,pero io io io si
