Truth,Decoded
Perfetto vorrei comprarne due.,si gqanoento costa bene due
Tutto bene grazie,tutto grazie
Tutto bene tu,tutto e grazie
Prego,prego
Si grazie e arrivederci,piraede due
Salve quanto costa quell articolo,si grangtg le pero
Quanto costa il biglietto,quanto cbstabglieto
Le auguro una buona giornata,le auguro una una giornata
E in offerta costa dieci euro,e in offerta costa dieci euro
A che ora arriva il pullman,a che ora va il pullman
Prego,prego
Buongiorno io sono Mario,buongiorno io sono mario
Tutto bene grazie,tutto benegrazie
Tutto bene tu,tutto bene tu
Prendiamo un caffe al bar,prendiamo un che al bar
Dovrebbe arrivare tra qualche minuto,dovrebrivare tra qualche minuto
