Truth,Decoded
Buonasera io sono Mario,e io e e e e e io
Buongiorno io sono Mario,io e e e e io
Prendiamo un caffe al bar,bene e e e io
A che ora arriva il pullman,e io
Piacere Luigi come stai,bene e e e e e lo
E in offerta costa dieci euro,e e e io
Si grazie e arrivederci,e e e e e io
Certo ecco a lei vuole un sacchetto,e e e e e io
Perfetto vorrei comprarne due.,ereoe e e e e io
Quanto costa il biglietto,e e e io
Prego,e e lo
Tutto bene grazie,e e e e lo
Dovrebbe arrivare tra qualche minuto,e e e e e io
Va bene grazie lo stesso,e e e e lo
Salve quanto costa quell articolo,e e e e e e io
Purtroppo non lo so pero potresti chiedere all autista,e io e e e e e io
